"ensembl_gene_id"	"description"	"uniprot_gn_symbol"
"206"	"ENSMUSG00000005718"	"transcription factor AP4 [Source:MGI Symbol;Acc:MGI:103239]"	"Tfap4"
"207"	"ENSMUSG00000005732"	"RAN binding protein 1 [Source:MGI Symbol;Acc:MGI:96269]"	"Ranbp1"
"208"	"ENSMUSG00000005774"	"regulatory factor X, 5 (influences HLA class II expression) [Source:MGI Symbol;Acc:MGI:1858421]"	"Rfx5"
"209"	"ENSMUSG00000005813"	"methionyl aminopeptidase 1 [Source:MGI Symbol;Acc:MGI:1922874]"	"Metap1"
"210"	"ENSMUSG00000005823"	"G protein-coupled receptor 108 [Source:MGI Symbol;Acc:MGI:1925558]"	"Gpr108"
"211"	"ENSMUSG00000005899"	"sphingomyelin phosphodiesterase 4 [Source:MGI Symbol;Acc:MGI:1924876]"	"Smpd4"
"212"	"ENSMUSG00000005951"	"sedoheptulokinase [Source:MGI Symbol;Acc:MGI:1921887]"	"Shpk"
"213"	"ENSMUSG00000005968"	"tuftelin 1 [Source:MGI Symbol;Acc:MGI:109572]"	"Tuft1"
"214"	"ENSMUSG00000005973"	"reticulocalbin 1 [Source:MGI Symbol;Acc:MGI:104559]"	"Rcn1"
"215"	"ENSMUSG00000005981"	"TNF receptor-associated protein 1 [Source:MGI Symbol;Acc:MGI:1915265]"	"Trap1"
"216"	"ENSMUSG00000005982"	"N(alpha)-acetyltransferase 60, NatF catalytic subunit [Source:MGI Symbol;Acc:MGI:1922013]"	"Naa60"
"217"	"ENSMUSG00000006005"	"translocated promoter region, nuclear basket protein [Source:MGI Symbol;Acc:MGI:1922066]"	"Tpr"
"218"	"ENSMUSG00000006050"	"steroid receptor RNA activator 1 [Source:MGI Symbol;Acc:MGI:1344414]"	"Sra1"
"219"	"ENSMUSG00000006095"	"tubulin folding cofactor B [Source:MGI Symbol;Acc:MGI:1913661]"	"Tbcb"
"220"	"ENSMUSG00000006127"	"inositol polyphosphate 5-phosphatase K [Source:MGI Symbol;Acc:MGI:1194899]"	"Inpp5k"
"221"	"ENSMUSG00000006154"	"EPS8-like 1 [Source:MGI Symbol;Acc:MGI:1914675]"	"Eps8l1"
"222"	"ENSMUSG00000006221"	"heat shock protein family, member 7 (cardiovascular) [Source:MGI Symbol;Acc:MGI:1352494]"	"Hspb7"
"223"	"ENSMUSG00000006289"	"O-sialoglycoprotein endopeptidase [Source:MGI Symbol;Acc:MGI:1913496]"	"Osgep"
"224"	"ENSMUSG00000006301"	"transmembrane BAX inhibitor motif containing 1 [Source:MGI Symbol;Acc:MGI:1916910]"	"Tmbim1"
"225"	"ENSMUSG00000006304"	"actin related protein 2/3 complex, subunit 2 [Source:MGI Symbol;Acc:MGI:1923959]"	"Arpc2"
"226"	"ENSMUSG00000006344"	"gamma-glutamyltransferase 5 [Source:MGI Symbol;Acc:MGI:1346063]"	"Ggt5"
"227"	"ENSMUSG00000006345"	"gamma-glutamyltransferase 1 [Source:MGI Symbol;Acc:MGI:95706]"	"Ggt1"
"228"	"ENSMUSG00000006356"	"cysteine rich protein 2 [Source:MGI Symbol;Acc:MGI:1915587]"	"Crip2"
"229"	"ENSMUSG00000006360"	"cysteine-rich protein 1 (intestinal) [Source:MGI Symbol;Acc:MGI:88501]"	"Crip1"
"230"	"ENSMUSG00000006362"	"CBFA2/RUNX1 translocation partner 3 [Source:MGI Symbol;Acc:MGI:1338013]"	"Cbfa2t3"
"231"	"ENSMUSG00000006369"	"fibulin 1 [Source:MGI Symbol;Acc:MGI:95487]"	"Fbln1"
"232"	"ENSMUSG00000006378"	"glycine C-acetyltransferase (2-amino-3-ketobutyrate-coenzyme A ligase) [Source:MGI Symbol;Acc:MGI:1349389]"	"Gcat"
"233"	"ENSMUSG00000006395"	"hydroxypyruvate isomerase (putative) [Source:MGI Symbol;Acc:MGI:1915430]"	"Hyi"
"234"	"ENSMUSG00000006398"	"cell division cycle 20 [Source:MGI Symbol;Acc:MGI:1859866]"	"Cdc20"
"235"	"ENSMUSG00000006418"	"ring finger protein 114 [Source:MGI Symbol;Acc:MGI:1933159]"	"Rnf114"
"236"	"ENSMUSG00000006442"	"spermidine synthase [Source:MGI Symbol;Acc:MGI:102690]"	"Srm"
"237"	"ENSMUSG00000006445"	"Eph receptor A2 [Source:MGI Symbol;Acc:MGI:95278]"	"Epha2"
"238"	"ENSMUSG00000006463"	"zinc finger, DHHC domain containing 24 [Source:MGI Symbol;Acc:MGI:1917855]"	"Zdhhc24"
"239"	"ENSMUSG00000006471"	"NADPH dependent diflavin oxidoreductase 1 [Source:MGI Symbol;Acc:MGI:1926047]"	"Ndor1"
"240"	"ENSMUSG00000006494"	"pyruvate dehydrogenase kinase, isoenzyme 1 [Source:MGI Symbol;Acc:MGI:1926119]"	"Pdk1"
"241"	"ENSMUSG00000006517"	"mevalonate (diphospho) decarboxylase [Source:MGI Symbol;Acc:MGI:2179327]"	"Mvd"
"242"	"ENSMUSG00000006522"	"inter-alpha trypsin inhibitor, heavy chain 3 [Source:MGI Symbol;Acc:MGI:96620]"	"Itih3"
"243"	"ENSMUSG00000006526"	"STIM activating enhancer [Source:MGI Symbol;Acc:MGI:1921500]"	"Stimate"
"244"	"ENSMUSG00000006574"	"solute carrier family 4 (anion exchanger), member 1 [Source:MGI Symbol;Acc:MGI:109393]"	"Slc4a1"
"245"	"ENSMUSG00000006575"	"RUN domain containing 3A [Source:MGI Symbol;Acc:MGI:1858752]"	"Rundc3a"
"246"	"ENSMUSG00000006585"	"chromatin licensing and DNA replication factor 1 [Source:MGI Symbol;Acc:MGI:1914427]"	"Cdt1"
"247"	"ENSMUSG00000006611"	"homeostatic iron regulator [Source:MGI Symbol;Acc:MGI:109191]"	"Hfe"
"248"	"ENSMUSG00000006678"	"polymerase (DNA directed), alpha 1 [Source:MGI Symbol;Acc:MGI:99660]"	"Pola1"
"249"	"ENSMUSG00000006715"	"geminin [Source:MGI Symbol;Acc:MGI:1927344]"	"Gmnn"
"250"	"ENSMUSG00000006717"	"acyl-CoA thioesterase 13 [Source:MGI Symbol;Acc:MGI:1914084]"	"Acot13"
"251"	"ENSMUSG00000006728"	"cyclin-dependent kinase 4 [Source:MGI Symbol;Acc:MGI:88357]"	"Cdk4"
"252"	"ENSMUSG00000006731"	"beta-1,4-N-acetyl-galactosaminyl transferase 1 [Source:MGI Symbol;Acc:MGI:1342057]"	"B4galnt1"
"253"	"ENSMUSG00000006732"	"methyltransferase like 1 [Source:MGI Symbol;Acc:MGI:1339986]"	"Mettl1"
"254"	"ENSMUSG00000006920"	"enhancer of zeste 1 polycomb repressive complex 2 subunit [Source:MGI Symbol;Acc:MGI:1097695]"	"Ezh1"
"255"	"ENSMUSG00000006958"	"chordin [Source:MGI Symbol;Acc:MGI:1313268]"	"Chrd"
"256"	"ENSMUSG00000006998"	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 2 [Source:MGI Symbol;Acc:MGI:1096584]"	"Psmd2"
"257"	"ENSMUSG00000007029"	"valyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:90675]"	"Vars"
"258"	"ENSMUSG00000007029"	"valyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:90675]"	"Vars1"
"259"	"ENSMUSG00000007041"	"chloride intracellular channel 1 [Source:MGI Symbol;Acc:MGI:2148924]"	"Clic1"
"260"	"ENSMUSG00000007050"	"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:MGI Symbol;Acc:MGI:90676]"	"Lsm2"
"261"	"ENSMUSG00000007080"	"polymerase (DNA directed), epsilon [Source:MGI Symbol;Acc:MGI:1196391]"	"Pole"
"262"	"ENSMUSG00000007207"	"syntaxin 1A (brain) [Source:MGI Symbol;Acc:MGI:109355]"	"Stx1a"
"263"	"ENSMUSG00000007476"	"leucine rich repeat containing 8A VRAC subunit A [Source:MGI Symbol;Acc:MGI:2652847]"	"Lrrc8a"
"264"	"ENSMUSG00000007589"	"Terf1 (TRF1)-interacting nuclear factor 2 [Source:MGI Symbol;Acc:MGI:107246]"	"Tinf2"
"265"	"ENSMUSG00000007613"	"transforming growth factor, beta receptor I [Source:MGI Symbol;Acc:MGI:98728]"	"Tgfbr1"
"266"	"ENSMUSG00000007655"	"caveolin 1, caveolae protein [Source:MGI Symbol;Acc:MGI:102709]"	"Cav1"
"267"	"ENSMUSG00000007656"	"cAMP-regulated phosphoprotein 19 [Source:MGI Symbol;Acc:MGI:1891691]"	"Arpp19"
"268"	"ENSMUSG00000007659"	"BCL2-like 1 [Source:MGI Symbol;Acc:MGI:88139]"	"Bcl2l1"
"269"	"ENSMUSG00000007670"	"KH-type splicing regulatory protein [Source:MGI Symbol;Acc:MGI:1336214]"	"Khsrp"
"270"	"ENSMUSG00000007805"	"twist basic helix-loop-helix transcription factor 2 [Source:MGI Symbol;Acc:MGI:104685]"	"Twist2"
"271"	"ENSMUSG00000007827"	"ankyrin repeat domain 26 [Source:MGI Symbol;Acc:MGI:1917887]"	"Ankrd26"
"272"	"ENSMUSG00000007833"	"aldehyde dehydrogenase 16 family, member A1 [Source:MGI Symbol;Acc:MGI:1916998]"	"Aldh16a1"
"273"	"ENSMUSG00000007837"	"proline-rich Gla (G-carboxyglutamic acid) polypeptide 2 [Source:MGI Symbol;Acc:MGI:1929596]"	"Prrg2"
"274"	"ENSMUSG00000007867"	"intraflagellar transport 43 [Source:MGI Symbol;Acc:MGI:1923661]"	"Ift43"
"275"	"ENSMUSG00000007891"	"cathepsin D [Source:MGI Symbol;Acc:MGI:88562]"	"Ctsd"
"276"	"ENSMUSG00000008036"	"adaptor-related protein complex 2, sigma 1 subunit [Source:MGI Symbol;Acc:MGI:2141861]"	"Ap2s1"
"277"	"ENSMUSG00000008348"	"ubiquitin C [Source:MGI Symbol;Acc:MGI:98889]"	"Ubc"
"278"	"ENSMUSG00000008384"	"SERTA domain containing 1 [Source:MGI Symbol;Acc:MGI:1913438]"	"Sertad1"
"279"	"ENSMUSG00000008393"	"calcium regulated heat stable protein 1 [Source:MGI Symbol;Acc:MGI:1196368]"	"Carhsp1"
"280"	"ENSMUSG00000008540"	"microsomal glutathione S-transferase 1 [Source:MGI Symbol;Acc:MGI:1913850]"	"Mgst1"
"281"	"ENSMUSG00000008604"	"ubiquilin 4 [Source:MGI Symbol;Acc:MGI:2150152]"	"Ubqln4"
"282"	"ENSMUSG00000008730"	"homeodomain interacting protein kinase 1 [Source:MGI Symbol;Acc:MGI:1314873]"	"Hipk1"
"283"	"ENSMUSG00000008734"	"G protein-coupled receptor, family C, group 5, member B [Source:MGI Symbol;Acc:MGI:1927596]"	"Gprc5b"
"284"	"ENSMUSG00000008845"	"CD163 antigen [Source:MGI Symbol;Acc:MGI:2135946]"	"Cd163"
"285"	"ENSMUSG00000008855"	"histone deacetylase 5 [Source:MGI Symbol;Acc:MGI:1333784]"	"Hdac5"
"286"	"ENSMUSG00000009013"	"dynein light chain LC8-type 1 [Source:MGI Symbol;Acc:MGI:1861457]"	"Dynll1"
"287"	"ENSMUSG00000009030"	"phosducin-like [Source:MGI Symbol;Acc:MGI:1914716]"	"Pdcl"
"288"	"ENSMUSG00000009112"	"BCL2-like 13 (apoptosis facilitator) [Source:MGI Symbol;Acc:MGI:2136959]"	"Bcl2l13"
"289"	"ENSMUSG00000009207"	"lunapark, ER junction formation factor [Source:MGI Symbol;Acc:MGI:1918115]"	"Lnpk"
"290"	"ENSMUSG00000009281"	"retinoic acid receptor responder (tazarotene induced) 2 [Source:MGI Symbol;Acc:MGI:1918910]"	"Rarres2"
"291"	"ENSMUSG00000009291"	"pituitary tumor-transforming 1 interacting protein [Source:MGI Symbol;Acc:MGI:2652132]"	"Pttg1ip"
"292"	"ENSMUSG00000009293"	"ubiquitin-conjugating enzyme E2G 2 [Source:MGI Symbol;Acc:MGI:1343188]"	"Ube2g2"
"293"	"ENSMUSG00000009378"	"solute carrier family 16 (monocarboxylic acid transporters), member 12 [Source:MGI Symbol;Acc:MGI:2147716]"	"Slc16a12"
"294"	"ENSMUSG00000009394"	"synapsin II [Source:MGI Symbol;Acc:MGI:103020]"	"Syn2"
"295"	"ENSMUSG00000009549"	"signal recognition particle 14 [Source:MGI Symbol;Acc:MGI:107169]"	"Srp14"
"296"	"ENSMUSG00000009555"	"cyclin-dependent kinase 9 (CDC2-related kinase) [Source:MGI Symbol;Acc:MGI:1328368]"	"Cdk9"
"297"	"ENSMUSG00000009566"	"folylpolyglutamyl synthetase [Source:MGI Symbol;Acc:MGI:95576]"	"Fpgs"
"298"	"ENSMUSG00000009575"	"chromobox 5 [Source:MGI Symbol;Acc:MGI:109372]"	"Cbx5"
"299"	"ENSMUSG00000009614"	"sarcosine dehydrogenase [Source:MGI Symbol;Acc:MGI:2183102]"	"Sardh"
"300"	"ENSMUSG00000009640"	"DNA methyltransferase 1-associated protein 1 [Source:MGI Symbol;Acc:MGI:1913483]"	"Dmap1"
"301"	"ENSMUSG00000009647"	"mitochondrial calcium uniporter [Source:MGI Symbol;Acc:MGI:3026965]"	"Mcu"
"302"	"ENSMUSG00000009654"	"oncoprotein induced transcript 3 [Source:MGI Symbol;Acc:MGI:1201782]"	"Oit3"
"303"	"ENSMUSG00000009681"	"BCR activator of RhoGEF and GTPase [Source:MGI Symbol;Acc:MGI:88141]"	"Bcr"
"304"	"ENSMUSG00000009687"	"FXYD domain-containing ion transport regulator 5 [Source:MGI Symbol;Acc:MGI:1201785]"	"Fxyd5"
"305"	"ENSMUSG00000009828"	"ciliogenesis associated kinase 1 [Source:MGI Symbol;Acc:MGI:1934157]"	"Cilk1"
"306"	"ENSMUSG00000009995"	"tafazzin, phospholipid-lysophospholipid transacylase [Source:MGI Symbol;Acc:MGI:109626]"	"Tafazzin"
"307"	"ENSMUSG00000010045"	"transmembrane protein 115 [Source:MGI Symbol;Acc:MGI:1930765]"	"Tmem115"
"308"	"ENSMUSG00000010048"	"interferon-related developmental regulator 2 [Source:MGI Symbol;Acc:MGI:1316708]"	"Ifrd2"
"309"	"ENSMUSG00000010064"	"solute carrier family 38, member 3 [Source:MGI Symbol;Acc:MGI:1923507]"	"Slc38a3"
"310"	"ENSMUSG00000010080"	"epsin 3 [Source:MGI Symbol;Acc:MGI:1919139]"	"Epn3"
"311"	"ENSMUSG00000010122"	"solute carrier family 47, member 1 [Source:MGI Symbol;Acc:MGI:1914723]"	"Slc47a1"
"312"	"ENSMUSG00000010358"	"interferon-induced protein 35 [Source:MGI Symbol;Acc:MGI:1917360]"	"Ifi35"
"313"	"ENSMUSG00000010362"	"RAD52 motif 1 [Source:MGI Symbol;Acc:MGI:1913849]"	"Rdm1"
"314"	"ENSMUSG00000010607"	"phosphatidylinositol glycan anchor biosynthesis, class Y-like [Source:MGI Symbol;Acc:MGI:1913518]"	"Pigy"
"315"	"ENSMUSG00000010660"	"phospholipase C, delta 1 [Source:MGI Symbol;Acc:MGI:97614]"	"Plcd1"
"316"	"ENSMUSG00000010663"	"fatty acid desaturase 1 [Source:MGI Symbol;Acc:MGI:1923517]"	"Fads1"
"317"	"ENSMUSG00000010721"	"limb region 1 [Source:MGI Symbol;Acc:MGI:1861746]"	"Lmbr1"
"318"	"ENSMUSG00000010755"	"cysteinyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1351477]"	"Cars"
"319"	"ENSMUSG00000010755"	"cysteinyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1351477]"	"Cars1"
"320"	"ENSMUSG00000010760"	"pleckstrin homology like domain, family A, member 2 [Source:MGI Symbol;Acc:MGI:1202307]"	"Phlda2"
"321"	"ENSMUSG00000011008"	"mucolipin 2 [Source:MGI Symbol;Acc:MGI:1915529]"	"Mcoln2"
"322"	"ENSMUSG00000011158"	"BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit [Source:MGI Symbol;Acc:MGI:1919558]"	"Brf1"
"323"	"ENSMUSG00000011171"	"vasoactive intestinal peptide receptor 2 [Source:MGI Symbol;Acc:MGI:107166]"	"Vipr2"
"324"	"ENSMUSG00000011257"	"poly(A) binding protein, cytoplasmic 4 [Source:MGI Symbol;Acc:MGI:2385206]"	"Pabpc4"
"325"	"ENSMUSG00000011306"	"SURP and G patch domain containing 1 [Source:MGI Symbol;Acc:MGI:1917866]"	"Sugp1"
"326"	"ENSMUSG00000011382"	"dihydrodiol dehydrogenase (dimeric) [Source:MGI Symbol;Acc:MGI:1919005]"	"Dhdh"
"327"	"ENSMUSG00000012114"	"mediator complex subunit 15 [Source:MGI Symbol;Acc:MGI:2137379]"	"Med15"
"328"	"ENSMUSG00000012126"	"UBX domain protein 11 [Source:MGI Symbol;Acc:MGI:1914836]"	"Ubxn11"
"329"	"ENSMUSG00000012443"	"kinesin family member 11 [Source:MGI Symbol;Acc:MGI:1098231]"	"Kif11"
"330"	"ENSMUSG00000012483"	"replication protein A3 [Source:MGI Symbol;Acc:MGI:1915490]"	"Rpa3"
"331"	"ENSMUSG00000012640"	"zinc finger protein 715 [Source:MGI Symbol;Acc:MGI:1917180]"	"Zfp715"
"332"	"ENSMUSG00000013076"	"angiomotin-like 1 [Source:MGI Symbol;Acc:MGI:1922973]"	"Amotl1"
"333"	"ENSMUSG00000013236"	"protein tyrosine phosphatase, receptor type, S [Source:MGI Symbol;Acc:MGI:97815]"	"Ptprs"
"334"	"ENSMUSG00000013415"	"insulin-like growth factor 2 mRNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1890357]"	"Igf2bp1"
"335"	"ENSMUSG00000013419"	"zinc finger protein 651 [Source:MGI Symbol;Acc:MGI:2670992]"	"Zfp651"
"336"	"ENSMUSG00000013483"	"caspase recruitment domain family, member 14 [Source:MGI Symbol;Acc:MGI:2386258]"	"Card14"
"337"	"ENSMUSG00000013629"	"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:MGI Symbol;Acc:MGI:1916969]"	"Cad"
"338"	"ENSMUSG00000013643"	"LY6/PLAUR domain containing 8 [Source:MGI Symbol;Acc:MGI:1917413]"	"Lypd8"
"339"	"ENSMUSG00000013846"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:MGI Symbol;Acc:MGI:98304]"	"St3gal1"
"340"	"ENSMUSG00000013921"	"CAP-GLY domain containing linker protein 3 [Source:MGI Symbol;Acc:MGI:1923936]"	"Clip3"
"341"	"ENSMUSG00000013973"	"death effector domain-containing [Source:MGI Symbol;Acc:MGI:1333874]"	"Dedd"
"342"	"ENSMUSG00000013997"	"nitrilase 1 [Source:MGI Symbol;Acc:MGI:1350916]"	"Nit1"
"343"	"ENSMUSG00000014077"	"calcineurin-like EF hand protein 1 [Source:MGI Symbol;Acc:MGI:1927185]"	"Chp1"
"344"	"ENSMUSG00000014353"	"transmembrane protein 87B [Source:MGI Symbol;Acc:MGI:1919727]"	"Tmem87b"
"345"	"ENSMUSG00000014402"	"tumor susceptibility gene 101 [Source:MGI Symbol;Acc:MGI:106581]"	"Tsg101"
"346"	"ENSMUSG00000014444"	"piezo-type mechanosensitive ion channel component 1 [Source:MGI Symbol;Acc:MGI:3603204]"	"Piezo1"
"347"	"ENSMUSG00000014498"	"ankyrin repeat domain 52 [Source:MGI Symbol;Acc:MGI:2444029]"	"Ankrd52"
"348"	"ENSMUSG00000014601"	"striatin interacting protein 1 [Source:MGI Symbol;Acc:MGI:2443884]"	"Strip1"
"349"	"ENSMUSG00000014606"	"solute carrier family 25 (mitochondrial carrier oxoglutarate carrier), member 11 [Source:MGI Symbol;Acc:MGI:1915113]"	"Slc25a11"
"350"	"ENSMUSG00000014776"	"nucleolar protein 3 (apoptosis repressor with CARD domain) [Source:MGI Symbol;Acc:MGI:1925938]"	"Nol3"
"351"	"ENSMUSG00000014791"	"engulfment and cell motility 3 [Source:MGI Symbol;Acc:MGI:2679007]"	"Elmo3"
"352"	"ENSMUSG00000014837"	"RIKEN cDNA 4931428F04 gene [Source:MGI Symbol;Acc:MGI:1921606]"	"Kiaa0895l"
"353"	"ENSMUSG00000014846"	"tubulin polymerization-promoting protein family member 3 [Source:MGI Symbol;Acc:MGI:1915221]"	"Tppp3"
"354"	"ENSMUSG00000014850"	"mutS homolog 3 [Source:MGI Symbol;Acc:MGI:109519]"	"Msh3"
"355"	"ENSMUSG00000014867"	"surfeit gene 4 [Source:MGI Symbol;Acc:MGI:98445]"	"Surf4"
"356"	"ENSMUSG00000014907"	"nuclear assembly factor 1 ribonucleoprotein [Source:MGI Symbol;Acc:MGI:2682306]"	"Naf1"
"357"	"ENSMUSG00000014980"	"tRNA splicing endonuclease subunit 15 [Source:MGI Symbol;Acc:MGI:1913887]"	"Tsen15"
"358"	"ENSMUSG00000015023"	"DEAD box helicase 19a [Source:MGI Symbol;Acc:MGI:99526]"	"Ddx19a"
"359"	"ENSMUSG00000015085"	"ectonucleoside triphosphate diphosphohydrolase 2 [Source:MGI Symbol;Acc:MGI:1096863]"	"Entpd2"
"360"	"ENSMUSG00000015087"	"RAB, member RAS oncogene family-like 6 [Source:MGI Symbol;Acc:MGI:2442633]"	"Rabl6"
"361"	"ENSMUSG00000015094"	"neural proliferation, differentiation and control 1 [Source:MGI Symbol;Acc:MGI:1099802]"	"Npdc1"
"362"	"ENSMUSG00000015112"	"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 13 [Source:MGI Symbol;Acc:MGI:1354721]"	"Slc25a13"
"363"	"ENSMUSG00000015143"	"actinin, alpha 1 [Source:MGI Symbol;Acc:MGI:2137706]"	"Actn1"
"364"	"ENSMUSG00000015176"	"nucleolar and coiled-body phosphoprotein 1 [Source:MGI Symbol;Acc:MGI:1918019]"	"Nolc1"
"365"	"ENSMUSG00000015189"	"CAS1 domain containing 1 [Source:MGI Symbol;Acc:MGI:2384865]"	"Casd1"
"366"	"ENSMUSG00000015214"	"myotubularin related protein 1 [Source:MGI Symbol;Acc:MGI:1858271]"	"Mtmr1"
"367"	"ENSMUSG00000015217"	"high mobility group box 3 [Source:MGI Symbol;Acc:MGI:1098219]"	"Hmgb3"
"368"	"ENSMUSG00000015312"	"growth arrest and DNA-damage-inducible 45 beta [Source:MGI Symbol;Acc:MGI:107776]"	"Gadd45b"
"369"	"ENSMUSG00000015337"	"endonuclease G [Source:MGI Symbol;Acc:MGI:1261433]"	"Endog"
"370"	"ENSMUSG00000015468"	"notch 4 [Source:MGI Symbol;Acc:MGI:107471]"	"Notch4"
"371"	"ENSMUSG00000015478"	"ring finger protein 5 [Source:MGI Symbol;Acc:MGI:1860076]"	"Rnf5"
"372"	"ENSMUSG00000015501"	"human immunodeficiency virus type I enhancer binding protein 2 [Source:MGI Symbol;Acc:MGI:1338076]"	"Hivep2"
"373"	"ENSMUSG00000015542"	"N-acetyltransferase 9 (GCN5-related, putative) [Source:MGI Symbol;Acc:MGI:1913426]"	"Nat9"
"374"	"ENSMUSG00000015568"	"lipoprotein lipase [Source:MGI Symbol;Acc:MGI:96820]"	"Lpl"
"375"	"ENSMUSG00000015575"	"ATPase, H+ transporting, lysosomal V0 subunit E [Source:MGI Symbol;Acc:MGI:1328318]"	"Atp6v0e"
"376"	"ENSMUSG00000015575"	"ATPase, H+ transporting, lysosomal V0 subunit E [Source:MGI Symbol;Acc:MGI:1328318]"	"Atp6v0e1"
"377"	"ENSMUSG00000015647"	"laminin, alpha 5 [Source:MGI Symbol;Acc:MGI:105382]"	"Lama5"
"378"	"ENSMUSG00000015702"	"annexin A9 [Source:MGI Symbol;Acc:MGI:1923711]"	"Anxa9"
"379"	"ENSMUSG00000015749"	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E [Source:MGI Symbol;Acc:MGI:1913721]"	"Anp32e"
"380"	"ENSMUSG00000015759"	"cornichon family AMPA receptor auxiliary protein 1 [Source:MGI Symbol;Acc:MGI:1277202]"	"Cnih1"
"381"	"ENSMUSG00000015766"	"epidermal growth factor receptor pathway substrate 8 [Source:MGI Symbol;Acc:MGI:104684]"	"Eps8"
"382"	"ENSMUSG00000015806"	"quinoid dihydropteridine reductase [Source:MGI Symbol;Acc:MGI:97836]"	"Qdpr"
"383"	"ENSMUSG00000015837"	"sequestosome 1 [Source:MGI Symbol;Acc:MGI:107931]"	"Sqstm1"
"384"	"ENSMUSG00000015850"	"ADAMTS-like 4 [Source:MGI Symbol;Acc:MGI:2389008]"	"Adamtsl4"
"385"	"ENSMUSG00000015880"	"non-SMC condensin I complex, subunit G [Source:MGI Symbol;Acc:MGI:1930197]"	"Ncapg"
"386"	"ENSMUSG00000015882"	"ligand dependent nuclear receptor corepressor-like [Source:MGI Symbol;Acc:MGI:2651932]"	"Lcorl"
"387"	"ENSMUSG00000015889"	"leukotriene A4 hydrolase [Source:MGI Symbol;Acc:MGI:96836]"	"Lta4h"
"388"	"ENSMUSG00000015944"	"cytosolic arginine sensor for mTORC1 subunit 2 [Source:MGI Symbol;Acc:MGI:1933384]"	"Castor2"
"389"	"ENSMUSG00000016024"	"lipopolysaccharide binding protein [Source:MGI Symbol;Acc:MGI:1098776]"	"Lbp"
"390"	"ENSMUSG00000016028"	"cadherin, EGF LAG seven-pass G-type receptor 1 [Source:MGI Symbol;Acc:MGI:1100883]"	"Celsr1"
"391"	"ENSMUSG00000016200"	"synaptotagmin XIV [Source:MGI Symbol;Acc:MGI:2444490]"	"Syt14"
"392"	"ENSMUSG00000016262"	"SERTA domain containing 4 [Source:MGI Symbol;Acc:MGI:2443496]"	"Sertad4"
"393"	"ENSMUSG00000016386"	"metallophosphoesterase domain containing 2 [Source:MGI Symbol;Acc:MGI:1924265]"	"Mpped2"
"394"	"ENSMUSG00000016458"	"WT1 transcription factor [Source:MGI Symbol;Acc:MGI:98968]"	"Wt1"
"395"	"ENSMUSG00000016477"	"E2F transcription factor 3 [Source:MGI Symbol;Acc:MGI:1096340]"	"E2f3"
"396"	"ENSMUSG00000016481"	"complement component (3b/4b) receptor 1-like [Source:MGI Symbol;Acc:MGI:88513]"	"Cr1l"
"397"	"ENSMUSG00000016757"	"tubulin tyrosine ligase-like family, member 12 [Source:MGI Symbol;Acc:MGI:3039573]"	"Ttll12"
"398"	"ENSMUSG00000016984"	"Ewing tumor-associated antigen 1 [Source:MGI Symbol;Acc:MGI:1915395]"	"Etaa1"
"399"	"ENSMUSG00000017009"	"syndecan 4 [Source:MGI Symbol;Acc:MGI:1349164]"	"Sdc4"
"400"	"ENSMUSG00000017057"	"interleukin 13 receptor, alpha 1 [Source:MGI Symbol;Acc:MGI:105052]"	"Il13ra1"
"401"	"ENSMUSG00000017119"	"NBR1, autophagy cargo receptor [Source:MGI Symbol;Acc:MGI:108498]"	"Nbr1"
"402"	"ENSMUSG00000017132"	"cytohesin 1 [Source:MGI Symbol;Acc:MGI:1334257]"	"Cyth1"
"403"	"ENSMUSG00000017144"	"Rho family GTPase 3 [Source:MGI Symbol;Acc:MGI:1921444]"	"Rnd3"
"404"	"ENSMUSG00000017146"	"breast cancer 1, early onset [Source:MGI Symbol;Acc:MGI:104537]"	"Brca1"
"405"	"ENSMUSG00000017176"	"5'-nucleotidase, cytosolic IIIB [Source:MGI Symbol;Acc:MGI:1915356]"	"Nt5c3b"
"406"	"ENSMUSG00000017405"	"NIMA (never in mitosis gene a)-related expressed kinase 8 [Source:MGI Symbol;Acc:MGI:1890646]"	"Nek8"
"407"	"ENSMUSG00000017418"	"ADP-ribosylation factor-like 5B [Source:MGI Symbol;Acc:MGI:1923119]"	"Arl5b"
"408"	"ENSMUSG00000017466"	"tissue inhibitor of metalloproteinase 2 [Source:MGI Symbol;Acc:MGI:98753]"	"Timp2"
"409"	"ENSMUSG00000017491"	"retinoic acid receptor, beta [Source:MGI Symbol;Acc:MGI:97857]"	"Rarb"
"410"	"ENSMUSG00000017499"	"cell division cycle 6 [Source:MGI Symbol;Acc:MGI:1345150]"	"Cdc6"
